[u'bikini', 0.88212639, u'maillot', 0.051215384, u'maillot', 0.047063947, u'swimming_trunks', 0.0098079816, u'brassiere', 0.003810684]
[u'maillot', 0.83151108, u'maillot', 0.08676666, u'miniskirt', 0.03029868, u'bikini', 0.028935861, u'sock', 0.0044361213]
[u'bikini', 0.67932278, u'diaper', 0.057522308, u'sunscreen', 0.048250854, u'miniskirt', 0.03434971, u'swimming_trunks', 0.023894811]
[u'bikini', 0.42876023, u'miniskirt', 0.250476, u'maillot', 0.23069781, u'maillot', 0.021545883, u'brassiere', 0.019571109]
[u'wig', 0.78515261, u'miniskirt', 0.045958575, u"potter's_wheel", 0.023511812, u'diaper', 0.01848211, u'feather_boa', 0.012442215]
[u'bikini', 0.40772218, u'snorkel', 0.15051721, u'sarong', 0.060097571, u'maillot', 0.055878904, u'tub', 0.045133375]
[u'maillot', 0.32555398, u'swimming_trunks', 0.28382111, u'bikini', 0.053274017, u'bathing_cap', 0.045816101, u'maillot', 0.033518035]
[u'swimming_trunks', 0.83021092, u'bathing_cap', 0.066819765, u'bikini', 0.039497528, u'maillot', 0.011745964, u'brassiere', 0.011129767]
[u'brassiere', 0.39710298, u'maillot', 0.28240332, u'bikini', 0.11743695, u'maillot', 0.049513649, u'hoopskirt', 0.04213718]
[u'brassiere', 0.58899403, u'bikini', 0.20162755, u'maillot', 0.13068457, u'sarong', 0.024343539, u'sunglass', 0.011459586]
