[u'stopwatch', 0.070514716, u'vacuum', 0.063974842, u'modem', 0.046534721, u'power_drill', 0.045718905, u'cellular_telephone', 0.045287926]
[u'diaper', 0.88974786, u'swimming_trunks', 0.033720251, u'brassiere', 0.032941952, u'tub', 0.0084581915, u'bikini', 0.007785351]
[u'bikini', 0.35282484, u'swimming_trunks', 0.13830583, u'maillot', 0.10609525, u'comic_book', 0.090818033, u'maillot', 0.082942791]
[u'volleyball', 0.49540234, u'rugby_ball', 0.060832754, u'barbell', 0.060658291, u'seat_belt', 0.042236388, u"potter's_wheel", 0.024929252]
[u'bikini', 0.47005153, u'swimming_trunks', 0.20484526, u'sunscreen', 0.050566971, u'bathing_cap', 0.042080034, u'brassiere', 0.031840816]
[u'maillot', 0.57639855, u'maillot', 0.28444085, u'bikini', 0.09335573, u'swimming_trunks', 0.037431981, u'miniskirt', 0.0052833911]
[u'television', 0.22826947, u'home_theater', 0.14100286, u'brassiere', 0.11846293, u'cinema', 0.077427089, u'comic_book', 0.031421542]
[u'bathing_cap', 0.30391836, u'shower_cap', 0.14792261, u'bikini', 0.10690293, u'miniskirt', 0.099704079, u'maillot', 0.093316399]
[u'sandal', 0.18665399, u'table_lamp', 0.13790789, u'quilt', 0.034959547, u'shoe_shop', 0.033833645, u'seat_belt', 0.031274624]
[u'bikini', 0.83206183, u'diaper', 0.08536204, u'maillot', 0.016662175, u'swimming_trunks', 0.0095560895, u'maillot', 0.0077882479]
[u'bikini', 0.43807319, u'brassiere', 0.26017427, u'tub', 0.10553145, u'maillot', 0.069441736, u'bathtub', 0.018942006]
[u'bikini', 0.44882497, u'brassiere', 0.15533862, u'maillot', 0.12219243, u'maillot', 0.066454388, u'sarong', 0.035406932]
[u'diaper', 0.95583266, u'swimming_trunks', 0.018301466, u'bathing_cap', 0.0025470778, u'plunger', 0.0022462839, u'brassiere', 0.0022156995]
[u'earthstar', 0.69628763, u'cricket', 0.025536634, u'hermit_crab', 0.024215652, u'hourglass', 0.015490531, u'water_ouzel', 0.013001642]
[u'swimming_trunks', 0.38897786, u'maillot', 0.12625962, u'bikini', 0.040924937, u'brassiere', 0.036210313, u'gown', 0.035131704]
[u'crossword_puzzle', 0.5886218, u'Indian_elephant', 0.064562276, u'sea_lion', 0.063730739, u'comic_book', 0.050045732, u'web_site', 0.037879027]
[u'banjo', 0.23327328, u'racket', 0.19356823, u'soccer_ball', 0.12202387, u'miniskirt', 0.10983095, u'punching_bag', 0.02684292]
[u'bikini', 0.50163674, u'diaper', 0.15904723, u'brassiere', 0.12144484, u'maillot', 0.092149608, u'maillot', 0.058579441]
[u"potter's_wheel", 0.22910868, u'maillot', 0.069631629, u'diaper', 0.046597373, u'neck_brace', 0.035754062, u'brassiere', 0.024831071]
