[u'Band_Aid', 0.37484694, u'tile_roof', 0.074861288, u'brassiere', 0.046975795, u'dumbbell', 0.04483689, u'sandal', 0.043722626]
[u'bikini', 0.6144197, u'swimming_trunks', 0.10710362, u'maillot', 0.091302522, u'maillot', 0.072720692, u'brassiere', 0.052763991]
[u'rule', 0.3570537, u'barbell', 0.087946512, u'accordion', 0.077439666, u'syringe', 0.057264082, u'acoustic_guitar', 0.031468648]
[u'mouse', 0.11994476, u'ping-pong_ball', 0.094265476, u'tennis_ball', 0.088123888, u'punching_bag', 0.055277236, u'lampshade', 0.041590195]
[u'swimming_trunks', 0.45954525, u'bikini', 0.13183783, u'diaper', 0.069023915, u'sunscreen', 0.04132079, u'miniskirt', 0.037267584]
[u'swing', 0.9954769, u'chain', 0.0030225182, u'tub', 0.00039286504, u'scale', 0.00017118963, u'chime', 0.00015150297]
[u'sunscreen', 0.30596653, u'bikini', 0.1154307, u'Band_Aid', 0.089695632, u'bathing_cap', 0.063795455, u'hair_spray', 0.031915527]
[u'brassiere', 0.56627107, u'bikini', 0.14443828, u'maillot', 0.11837582, u'sandal', 0.089639232, u'clog', 0.04023461]
[u'brassiere', 0.17177308, u'lipstick', 0.068477951, u'maillot', 0.059953064, u'bikini', 0.046844948, u'wig', 0.043771502]
[u'necklace', 0.34974936, u'wig', 0.14141586, u'sombrero', 0.12524785, u'chain', 0.10777041, u'cowboy_hat', 0.070568725]
[u'brassiere', 0.090023428, u'dumbbell', 0.038333017, u'bikini', 0.038151395, u'miniskirt', 0.036684014, u'bathing_cap', 0.036344219]
[u'stretcher', 0.10429478, u'iron', 0.079268254, u'plane', 0.066659786, u'home_theater', 0.061077043, u'rifle', 0.057621114]
[u'scale', 0.41285601, u'spatula', 0.079445288, u'waffle_iron', 0.04824109, u"potter's_wheel", 0.034096893, u'electric_fan', 0.031585544]
[u'bubble', 0.2129311, u'tub', 0.20518982, u'bathtub', 0.17961128, u'washbasin', 0.091456324, u'piggy_bank', 0.040421579]
[u'tub', 0.32694983, u'bathing_cap', 0.20841898, u'bathtub', 0.14637071, u'swimming_trunks', 0.10472521, u'sunscreen', 0.042488709]
[u'stopwatch', 0.2772077, u'digital_clock', 0.16638641, u'digital_watch', 0.10170542, u'switch', 0.044449478, u'cassette', 0.036042795]
[u'brassiere', 0.26325169, u'maillot', 0.15646355, u'miniskirt', 0.13409635, u'bikini', 0.12354501, u'diaper', 0.068360507]
[u'swimming_trunks', 0.25869963, u'sunscreen', 0.19863224, u'cowboy_hat', 0.085248679, u'bathing_cap', 0.082791492, u'diaper', 0.075704843]
[u'canoe', 0.17093433, u'paddle', 0.10333616, u'projectile', 0.068456367, u'maraca', 0.045287173, u'bobsled', 0.040025558]
[u'bikini', 0.37072498, u'swimming_trunks', 0.3423261, u'maillot', 0.10025438, u'maillot', 0.096321151, u'sunscreen', 0.028770294]
[u'maillot', 0.38847113, u'maillot', 0.24166402, u'bikini', 0.12137268, u'swimming_trunks', 0.086832695, u'miniskirt', 0.066743046]
[u'American_egret', 0.18202123, u'spoonbill', 0.035553925, u'little_blue_heron', 0.020470539, u'crane', 0.020444898, u'bald_eagle', 0.016353259]
[u'home_theater', 0.21704625, u'television', 0.15537342, u'monitor', 0.084053256, u'screen', 0.072813757, u'desktop_computer', 0.041112691]
[u'bikini', 0.29563349, u'maillot', 0.16339953, u'swimming_trunks', 0.12148011, u'maillot', 0.080437921, u'bathing_cap', 0.063020289]
[u'motor_scooter', 0.36782494, u'golfcart', 0.17031661, u'moped', 0.099690832, u'lawn_mower', 0.046437625, u'barber_chair', 0.03139798]
[u'bathing_cap', 0.2605612, u'bikini', 0.14706539, u'volleyball', 0.13271827, u'sunscreen', 0.090850346, u'maillot', 0.086071834]
[u'tub', 0.31533715, u'bathtub', 0.18793295, u'brassiere', 0.10787893, u'miniskirt', 0.058447495, u'feather_boa', 0.051813919]
[u'miniskirt', 0.40645173, u'maillot', 0.17621705, u'maillot', 0.05151885, u'bikini', 0.051468048, u'dumbbell', 0.023783643]
